# Hungarian Wordnet	hu	http://www.racai.ro/tools/text/rowordnet-visualizer/	CC BY SA 
01169435-a	hun:def	0	Nem intenzív vagy élénk.
03915512-n	hun:lemma	tükörkép
03915512-n	hun:def	0	Valakinek, valaminek tükörben látszó képe.
05514437-n	hun:lemma	felszín
05514437-n	hun:lemma	látszat
05514437-n	hun:lemma	külszín
05514437-n	hun:def	0	Valami felszínes aspektusa szemben valódi természetével.
02281966-a	hun:lemma	beoltatlan
02281966-a	hun:def	0	Nem beoltott.
02266637-n	hun:lemma	Muscardinus avellanarius
02266637-n	hun:lemma	mogyorós pele
02266637-n	hun:def	0	Mókushoz hasonló, de kisebb, erdőkben élő, téli álmot alvó óvilági rágcsáló.
04722807-n	hun:lemma	(hangi tulajdonság)
02010968-v	hun:lemma	önt
02010968-v	hun:lemma	kiönt
02010968-v	hun:lemma	zúdít
02010968-v	hun:lemma	borít
02010968-v	hun:def	0	Tartály, edény megdöntésével valahova ömölni késztet valamit.
12524885-n	hun:lemma	táppénz
12524885-n	hun:def	0	A társadalombiztosítás alapján a dolgozóknak a keresőképtelenség idején járó juttatást.
02547332-n	hun:lemma	vérteshal
02547332-n	hun:lemma	félcsontos hal
02547332-n	hun:def	0	Ősi halfajták, melyeknek ezüstösen csillógó vértpikkelyei vannak.
09363009-n	hun:lemma	tüntető
09363009-n	hun:lemma	tiltakozó
09363009-n	hun:lemma	demonstráló
09363009-n	hun:def	0	Aki csoportos rendezvényen fejezi ki nemtetszését.
00364924-a	hun:lemma	(piros szegfű színével megegyező)
07193239-n	hun:lemma	húspástétomos apró, vajas sütemény
07193239-n	hun:def	0	Kisméretű, lapos formájú tömege feldarabolt ételnek.
09082380-n	hun:lemma	bermudai
09082380-n	hun:def	0	Bermuda lakója vagy szülötte.
09504553-n	hun:lemma	(hajóslegény, matróz, ember)
07688426-n	hun:lemma	kft.
07688426-n	hun:lemma	korlátolt felelősségű társaság
